position,player,age,experience,last year rank,bye week,low price,high price,actual price,owner
TE,Dawson Knox,25.79,3,7,1,1,3,,
TE,Pat Freiermuth,23.84,1,9,0,1,5,,
TE,Cole Kmet,23.47,0,14,0,0,1,,
TE,Hunter Henry,27.73,5,10,0,0,1,1,Jordan
TE,Mike Gesicki,26.9,4,11,0,0,1,,
TE,Irv Smith,24.05,0,7,0,0,0,,
TE,Noah Fant,24.77,3,11,0,0,0,,
TE,Albert Okwuegbunam,24.34,0,9,0,0,0,,
TE,Robert Tonyan,28.33,4,14,0,0,0,,
TE,David Njoku,26.14,5,9,0,0,2,,
TE,Gerald Everett,28.18,5,8,0,0,0,,
TE,Tyler Higbee,29.66,6,7,0,0,0,,
TE,Evan Engram,27.99,5,11,0,0,0,,
TE,Austin Hooper,27.83,6,6,0,0,0,,
TE,Logan Thomas,31.16,6,14,0,0,0,,
TE,Hayden Hurst,29.01,4,10,0,0,0,,
