year,rank,player_name,position
2020,33,Julian Edelman,WR
2020,34,Marvin Jones,WR
2020,35,Will Fuller,WR
2020,36,Brandin Cooks,WR
2020,37,Christian Kirk,WR
2020,38,Diontae Johnson,WR
2020,39,John Brown,WR
2020,40,Jamison Crowder,WR
2020,41,Mike Williams,WR
2020,42,Sterling Shepard,WR
2020,43,Darius Slayton,WR
2020,44,Emmanuel Sanders,WR
2020,45,Anthony Miller,WR
2020,46,Deebo Samuel,WR
2020,47,CeeDee Lamb,WR
2020,48,Golden Tate,WR
2020,49,Preston Williams,WR
2020,50,Jalen Reagor,WR
2020,51,Jerry Jeudy,WR
2020,52,Henry Ruggs,WR
2020,53,Mecole Hardman,WR
2020,54,Curtis Samuel,WR
2020,55,Justin Jefferson,WR
2020,56,Breshad Perriman,WR
2020,57,N'Keal Harry,WR
2020,58,Sammy Watkins,WR
2020,59,Robby Anderson,WR
2020,60,DeSean Jackson,WR
2020,1,Travis Kelce,TE
2020,2,George Kittle,TE
2020,3,Mark Andrews,TE
2020,4,Zach Ertz,TE
2020,5,Darren Waller,TE
2020,6,Evan Engram,TE
2020,7,Hunter Henry,TE
2020,8,Tyler Higbee,TE
2020,9,Hayden Hurst,TE
2020,10,Jared Cook,TE
2020,11,Rob Gronkowski,TE
2020,12,Austin Hooper,TE
2020,13,Mike Gesicki,TE
2020,14,Noah Fant,TE
2020,15,Dallas Goedert,TE
2020,16,T.J. Hockenson,TE
2020,17,Jonnu Smith,TE
2020,18,Blake Jarwin,TE
2020,19,Jack Doyle,TE
2020,20,Eric Ebron,TE
