ranking,year,position,player_id
34,2013,RB,2495979
35,2013,RB,2495466
36,2013,RB,949
37,2013,RB,2534789
38,2013,RB,2506871
39,2013,RB,2533545
40,2013,RB,2534796
41,2013,RB,497208
42,2013,RB,2533437
43,2013,RB,2507141
44,2013,RB,2533012
45,2013,RB,2532926
46,2013,RB,2495468
47,2013,RB,2539326
48,2013,RB,4327
49,2013,RB,2540273
50,2013,RB,2495471
51,2013,RB,79563
52,2013,RB,2507192
53,2013,RB,2495474
54,2013,RB,2495328
55,2013,RB,79619
56,2013,RB,497145
57,2013,RB,80644
58,2013,RB,2495241
59,2013,RB,2540171
60,2013,RB,497174
1,2013,WR,2495647
2,2013,WR,497278
3,2013,WR,2495450
4,2013,WR,2495893
5,2013,WR,2495454
6,2013,WR,497328
7,2013,WR,2506106
8,2013,WR,2506366
9,2013,WR,2505551
10,2013,WR,2506400
11,2013,WR,2507855
12,2013,WR,2495448
13,2013,WR,2495821
14,2013,WR,2495558
15,2013,WR,1032
16,2013,WR,2504747
17,2013,WR,80672
18,2013,WR,2649
19,2013,WR,2505790
20,2013,WR,2495459
21,2013,WR,2508061
22,2013,WR,497284
23,2013,WR,2504595
24,2013,WR,2507763
25,2013,WR,2346
26,2013,WR,2495341
27,2013,WR,2507183
28,2013,WR,768
29,2013,WR,2495867
30,2013,WR,1581
31,2013,WR,2508048
32,2013,WR,2495801
33,2013,WR,2532865
34,2013,WR,2539336
35,2013,WR,71217
36,2013,WR,2537931
37,2013,WR,2505587
38,2013,WR,2506287
39,2013,WR,497262
40,2013,WR,2495315
41,2013,WR,2495718
42,2013,WR,497322
43,2013,WR,2533038
44,2013,WR,2532841
45,2013,WR,2532977
46,2013,WR,497326
47,2013,WR,2533039
48,2013,WR,2535634
49,2013,WR,2540165
50,2013,WR,2508115
51,2013,WR,81831
52,2013,WR,2532807
53,2013,WR,80425
54,2013,WR,2539256
55,2013,WR,2533533
56,2013,WR,2505785
57,2013,WR,2495192
58,2013,WR,80427
59,2013,WR,497302
60,2013,WR,2540145
1,2013,TE,497236
2,2013,TE,497240
3,2013,TE,2505629
4,2013,TE,2500835
5,2013,TE,2495826
6,2013,TE,2495700
7,2013,TE,2495438
8,2013,TE,2495825
9,2013,TE,71265
10,2013,TE,2505299
11,2013,TE,1062
12,2013,TE,1072
13,2013,TE,89766
14,2013,TE,71431
15,2013,TE,497238
16,2013,TE,216
17,2013,TE,2495267
18,2013,TE,1074
19,2013,TE,497224
20,2013,TE,2508112
1,2014,QB,2501863
2,2014,QB,2506363
3,2014,QB,2504775
4,2014,QB,79860
5,2014,QB,2533031
6,2014,QB,2533033
7,2014,QB,2532842
8,2014,QB,310
9,2014,QB,2495455
10,2014,QB,2504211
11,2014,QB,2505354
12,2014,QB,2495186
13,2014,QB,2495824
14,2014,QB,2532975
15,2014,QB,2506121
16,2014,QB,2506109
17,2014,QB,2495143
18,2014,QB,2532956
19,2014,QB,2506340
20,2014,QB,2505245
21,2014,QB,2505996
22,2014,QB,2543462
23,2014,QB,2505076
24,2014,QB,382
25,2014,QB,2495194
26,2014,QB,497095
27,2014,QB,2539228
28,2014,QB,2543465
29,2014,QB,2539335
30,2014,QB,2506581
31,2014,QB,81294
32,2014,QB,2504531
33,2014,QB,2505982
34,2014,QB,252
35,2014,QB,2506562
36,2014,QB,2539275
37,2014,QB,2532820
38,2014,QB,2543499
39,2014,QB,2543640
40,2014,QB,2543477
1,2014,RB,925
2,2014,RB,79607
3,2014,RB,2507164
4,2014,RB,234
5,2014,RB,2540168
6,2014,RB,2495207
7,2014,RB,2539341
8,2014,RB,2495663
9,2014,RB,79555
10,2014,RB,2540175
11,2014,RB,2540156
12,2014,RB,2540273
13,2014,RB,2532899
14,2014,RB,2533457
15,2014,RB,2539217
16,2014,RB,497176
17,2014,RB,497204
18,2014,RB,497188
19,2014,RB,2506874
20,2014,RB,71345
21,2014,RB,2506404
22,2014,RB,497145
23,2014,RB,2495473
24,2014,RB,2543682
25,2014,RB,262
26,2014,RB,497208
27,2014,RB,941
28,2014,RB,2533032
29,2014,RB,2495470
30,2014,RB,2505936
31,2014,RB,2533034
32,2014,RB,2507141
33,2014,RB,2495831
34,2014,RB,2506871
35,2014,RB,2495979
36,2014,RB,4327
37,2014,RB,2543664
38,2014,RB,2533545
39,2014,RB,284
40,2014,RB,2506467
41,2014,RB,2543603
42,2014,RB,79619
43,2014,RB,2507999
44,2014,RB,2543583
45,2014,RB,2539322
46,2014,RB,2542022
47,2014,RB,2543743
48,2014,RB,2495466
49,2014,RB,949
50,2014,RB,79563
51,2014,RB,2495560
52,2014,RB,497149
53,2014,RB,2533035
54,2014,RB,2507779
55,2014,RB,2535708
56,2014,RB,2543502
57,2014,RB,2543565
58,2014,RB,2507790
59,2014,RB,2543773
1,2014,WR,2495647
2,2014,WR,497328
3,2014,WR,497278
4,2014,WR,2495450
5,2014,WR,2495454
6,2014,WR,2495893
7,2014,WR,1032
8,2014,WR,2533039
9,2014,WR,2508061
10,2014,WR,2495448
11,2014,WR,2506400
12,2014,WR,2540154
13,2014,WR,2505551
14,2014,WR,2346
15,2014,WR,2507855
16,2014,WR,2506106
17,2014,WR,2506366
18,2014,WR,71269
19,2014,WR,2505790
20,2014,WR,2532841
21,2014,WR,2540145
22,2014,WR,80425
23,2014,WR,2495459
24,2014,WR,1581
25,2014,WR,2507763
26,2014,WR,2532977
27,2014,WR,2532865
28,2014,WR,2495821
29,2014,WR,80429
30,2014,WR,238498
31,2014,WR,497284
32,2014,WR,2539205
33,2014,WR,497326
34,2014,WR,497322
35,2014,WR,2504747
36,2014,WR,2495558
37,2014,WR,2533533
38,2014,WR,2543457
39,2014,WR,2495341
40,2014,WR,2543468
41,2014,WR,497282
42,2014,WR,2532884
43,2014,WR,2505587
44,2014,WR,2543498
45,2014,WR,2540165
46,2014,WR,80672
47,2014,WR,2539336
48,2014,WR,81831
49,2014,WR,2507183
50,2014,WR,2540202
51,2014,WR,2495867
52,2014,WR,2540151
53,2014,WR,2532799
54,2014,WR,2539256
55,2014,WR,2543471
56,2014,WR,2649
57,2014,WR,2539291
58,2014,WR,2504595
59,2014,WR,2530747
60,2014,WR,2543500
1,2014,TE,497236
2,2014,TE,497240
3,2014,TE,2495353
4,2014,TE,2495267
5,2014,TE,2495826
6,2014,TE,2495700
7,2014,TE,2505629
8,2014,TE,2540160
9,2014,TE,2495438
10,2014,TE,497254
11,2014,TE,1062
12,2014,TE,2540158
13,2014,TE,2495139
14,2014,TE,2532853
15,2014,TE,2506369
16,2014,TE,2495966
17,2014,TE,2505299
18,2014,TE,2543466
19,2014,TE,2540148
20,2014,TE,2533046
1,2015,QB,2533031
2,2015,QB,2506363
3,2015,QB,2532975
4,2015,QB,2501863
5,2015,QB,2504775
6,2015,QB,2506109
7,2015,QB,310
8,2015,QB,2505354
9,2015,QB,2495455
10,2015,QB,2532956
11,2015,QB,2505996
12,2015,QB,79860
13,2015,QB,2506121
14,2015,QB,2504211
15,2015,QB,497095
16,2015,QB,2495186
17,2015,QB,2543465
18,2015,QB,2505245
19,2015,QB,382
20,2015,QB,2495824
21,2015,QB,2495143
22,2015,QB,2552033
23,2015,QB,2506340
24,2015,QB,2552466
25,2015,QB,2533033
26,2015,QB,2543499
27,2015,QB,2543477
28,2015,QB,2532842
29,2015,QB,2506581
30,2015,QB,2495240
31,2015,QB,81294
32,2015,QB,2543462
33,2015,QB,2539335
34,2015,QB,2506562
35,2015,QB,2505076
36,2015,QB,2495443
37,2015,QB,79858
38,2015,QB,2543801
39,2015,QB,2539228
40,2015,QB,2532820
1,2015,RB,2507164
2,2015,RB,2540175
3,2015,RB,925
4,2015,RB,2540168
5,2015,RB,2495663
6,2015,RB,2540269
7,2015,RB,2543603
8,2015,RB,234
9,2015,RB,2495207
10,2015,RB,79607
11,2015,RB,927
12,2015,RB,2533034
13,2015,RB,2506404
14,2015,RB,2495466
15,2015,RB,2533457
16,2015,RB,2552469
17,2015,RB,2541161
18,2015,RB,949
19,2015,RB,2543743
20,2015,RB,2539217
21,2015,RB,2540171
22,2015,RB,2552471
23,2015,RB,2552374
24,2015,RB,497149
25,2015,RB,497204
26,2015,RB,2552475
27,2015,RB,2507999
28,2015,RB,2532899
29,2015,RB,2540156
30,2015,RB,71345
31,2015,RB,497145
32,2015,RB,2552453
33,2015,RB,2550189
34,2015,RB,79555
35,2015,RB,2495473
36,2015,RB,2543583
37,2015,RB,497188
38,2015,RB,2543682
39,2015,RB,2543502
40,2015,RB,2552461
41,2015,RB,2552376
42,2015,RB,4327
43,2015,RB,2543600
44,2015,RB,2506874
45,2015,RB,2543770
46,2015,RB,2553435
47,2015,RB,284
