year,week,away_team,away_points,home_team,home_points
2012,8,The Romosapiens,103.08,Fuck you JHIGH,69.20
2012,8,Welker Texas Ranger,94.06,BRO FLACCO,56.80
2012,8,McGunnigle - Motley Cruz,102.96,Michael Bush League,97.30
2012,8,ABC Easy as RGIII,86.06,RANDY MOSS THE BOSS HUUAHHHHH,85.12
2012,8,It's not just Luck,79.94,One Team One Dream,119.56
2012,9,GreenGrapesWhiteWine,57.44,It's not just Luck,131.16
2012,9,BRO FLACCO,95.22,The Romosapiens,106.90
2012,9,Michael Bush League,104.88,Welker Texas Ranger,88.00
2012,9,RANDY MOSS THE BOSS HUUAHHHHH,106.30,McGunnigle - Motley Cruz,129.72
2012,9,One Team One Dream,56.30,ABC Easy as RGIII,76.98
2012,9,Fuck you JHIGH,96.72,Stephen's Howling in the Wayne,80.48
2012,10,GreenGrapesWhiteWine,124.36,ABC Easy as RGIII,121.34
2012,10,The Romosapiens,92.16,Michael Bush League,97.82
2012,10,Welker Texas Ranger,99.52,RANDY MOSS THE BOSS HUUAHHHHH,118.78
2012,10,McGunnigle - Motley Cruz,99.76,One Team One Dream,62.16
2012,10,It's not just Luck,76.02,Fuck you JHIGH,73.58
2012,10,Stephen's Howling in the Wayne,105.14,BRO FLACCO,92.02
2012,11,GreenGrapesWhiteWine,100.74,McGunnigle - Motley Cruz,58.86
2012,11,RANDY MOSS THE BOSS HUUAHHHHH,103.78,The Romosapiens,126.54
2012,11,One Team One Dream,56.10,Welker Texas Ranger,90.90
2012,11,Fuck you JHIGH,104.20,ABC Easy as RGIII,88.04
2012,11,BRO FLACCO,47.90,It's not just Luck,88.34
2012,11,Michael Bush League,109.18,Stephen's Howling in the Wayne,113.00
2012,12,GreenGrapesWhiteWine,119.06,One Team One Dream,115.72
2012,12,RANDY MOSS THE BOSS HUUAHHHHH,67.12,Fuck you JHIGH,75.42
2012,12,Michael Bush League,70.30,BRO FLACCO,107.32
2012,12,Welker Texas Ranger,92.28,The Romosapiens,122.58
2012,12,Stephen's Howling in the Wayne,82.00,McGunnigle - Motley Cruz,107.60
2012,12,It's not just Luck,106.64,ABC Easy as RGIII,127.88
2012,13,GreenGrapesWhiteWine,81.48,BRO FLACCO,85.30
2012,13,One Team One Dream,89.82,Fuck you JHIGH,112.58
2012,13,Michael Bush League,90.76,RANDY MOSS THE BOSS HUUAHHHHH,104.00
2012,13,The Romosapiens,102.74,McGunnigle - Motley Cruz,98.76
2012,13,ABC Easy as RGIII,97.42,Welker Texas Ranger,112.04
2012,13,It's not just Luck,123.82,Stephen's Howling in the Wayne,105.32
2012,14,GreenGrapesWhiteWine,120.84,It's not just Luck,140.84
2012,14,McGunnigle - Motley Cruz,121.66,RANDY MOSS THE BOSS HUUAHHHHH,111.16
2012,15,The Romosapiens,114.94,It's not just Luck,100.78
2012,15,McGunnigle - Motley Cruz,108.18,ABC Easy as RGIII,94.30
2012,16,The Romosapiens,90.26,McGunnigle - Motley Cruz,114.68
2013,1,Grandma's Fine Cutlery,117.26,Cooper Clux Clan,42.96
2013,1,The Bush Playoff Push,132.36,Hakuna Ma-Ngata,95.58
2013,1,The Walking Dez,105.20,Wilson and the Volleyballs,95.76
2013,1,Speedo-Licious,128.78,DeMarco Polo,119.68
2013,1,Shady McCoy,108.62,Teenage Newton Ninja Turtles,113.98
2013,1,Wine Her Dine Her 49er,93.14,Saved by the Bell,126.74
2013,2,Grandma's Fine Cutlery,83.90,Shady McCoy,146.08
2013,2,The Walking Dez,112.12,The Bush Playoff Push,124.98
2013,2,Hakuna Ma-Ngata,77.36,Speedo-Licious,110.40
2013,2,Wilson and the Volleyballs,90.16,DeMarco Polo,106.84
2013,2,Teenage Newton Ninja Turtles,92.44,Wine Her Dine Her 49er,83.94
2013,2,Cooper Clux Clan,109.10,Saved by the Bell,93.92
2013,3,Grandma's Fine Cutlery,72.34,Saved by the Bell,70.86
2013,3,The Bush Playoff Push,93.40,Speedo-Licious,90.30
2013,3,DeMarco Polo,107.22,The Walking Dez,110.12
2013,3,Wilson and the Volleyballs,63.94,Hakuna Ma-Ngata,120.12
2013,3,Shady McCoy,108.68,Wine Her Dine Her 49er,79.14
2013,3,Cooper Clux Clan,53.96,Teenage Newton Ninja Turtles,77.72
2013,4,Grandma's Fine Cutlery,69.24,Teenage Newton Ninja Turtles,97.56
2013,4,DeMarco Polo,159.82,The Bush Playoff Push,122.86
2013,4,Speedo-Licious,120.68,Wilson and the Volleyballs,106.98
2013,4,The Walking Dez,92.66,Hakuna Ma-Ngata,123.92
2013,4,Saved by the Bell,110.06,Shady McCoy,91.90
2013,4,Wine Her Dine Her 49er,96.48,Cooper Clux Clan,106.48
2013,5,Grandma's Fine Cutlery,97.88,Wine Her Dine Her 49er,67.32
2013,5,The Bush Playoff Push,75.06,Wilson and the Volleyballs,83.68
2013,5,Hakuna Ma-Ngata,103.32,DeMarco Polo,116.30
2013,5,The Walking Dez,101.48,Speedo-Licious,105.64
2013,5,Shady McCoy,108.50,Cooper Clux Clan,100.20
2013,5,Teenage Newton Ninja Turtles,87.34,Saved by the Bell,104.50
2013,6,Grandma's Fine Cutlery,99.32,The Walking Dez,97.08
2013,6,Shady McCoy,103.18,The Bush Playoff Push,62.48
2013,6,Teenage Newton Ninja Turtles,106.36,Hakuna Ma-Ngata,85.72
2013,6,Wine Her Dine Her 49er,81.74,Speedo-Licious,104.98
2013,6,Saved by the Bell,87.90,DeMarco Polo,120.78
2013,6,Cooper Clux Clan,99.62,Wilson and the Volleyballs,87.24
2013,7,Grandma's Fine Cutlery,78.54,Speedo-Licious,151.84
2013,7,Hakuna Ma-Ngata,76.00,Shady McCoy,109.62
2013,7,The Walking Dez,148.48,Teenage Newton Ninja Turtles,93.32
2013,7,DeMarco Polo,111.34,Wine Her Dine Her 49er,104.92
2013,7,Wilson and the Volleyballs,74.52,Saved by the Bell,96.58
2013,7,The Bush Playoff Push,83.40,Cooper Clux Clan,67.62
2013,8,Grandma's Fine Cutlery,70.56,DeMarco Polo,87.56
2013,8,Shady McCoy,69.38,The Walking Dez,128.04
2013,8,Teenage Newton Ninja Turtles,93.30,Speedo-Licious,95.90
2013,8,Wine Her Dine Her 49er,136.02,Wilson and the Volleyballs,66.74
2013,8,Saved by the Bell,115.14,The Bush Playoff Push,106.84
2013,8,Cooper Clux Clan,57.70,Hakuna Ma-Ngata,93.36
2013,9,Grandma's Fine Cutlery,118.42,Wilson and the Volleyballs,125.86
2013,9,Speedo-Licious,86.00,Shady McCoy,164.66
2013,9,DeMarco Polo,113.24,Teenage Newton Ninja Turtles,86.96
2013,9,The Bush Playoff Push,76.26,Wine Her Dine Her 49er,72.62
2013,9,Hakuna Ma-Ngata,129.46,Saved by the Bell,59.76
2013,9,The Walking Dez,140.48,Cooper Clux Clan,111.74
2013,10,Grandma's Fine Cutlery,105.52,The Bush Playoff Push,64.10
2013,10,Shady McCoy,107.96,DeMarco Polo,96.92
2013,10,Teenage Newton Ninja Turtles,90.40,Wilson and the Volleyballs,56.08
2013,10,Wine Her Dine Her 49er,54.34,Hakuna Ma-Ngata,102.46
2013,10,Saved by the Bell,94.96,The Walking Dez,103.52
2013,10,Cooper Clux Clan,94.40,Speedo-Licious,90.40
2013,11,Grandma's Fine Cutlery,36.76,Hakuna Ma-Ngata,98.40
2013,11,Wilson and the Volleyballs,90.76,Shady McCoy,110.78
2013,11,The Bush Playoff Push,122.26,Teenage Newton Ninja Turtles,117.24
2013,11,The Walking Dez,151.56,Wine Her Dine Her 49er,51.22
2013,11,Speedo-Licious,89.94,Saved by the Bell,98.66
2013,11,DeMarco Polo,68.04,Cooper Clux Clan,91.60
2013,12,Grandma's Fine Cutlery,86.26,Cooper Clux Clan,75.92
2013,12,Hakuna Ma-Ngata,93.24,The Bush Playoff Push,118.72
2013,12,Wilson and the Volleyballs,97.62,The Walking Dez,105.86
2013,12,DeMarco Polo,105.38,Speedo-Licious,98.10
2013,12,Teenage Newton Ninja Turtles,108.26,Shady McCoy,87.54
2013,12,Saved by the Bell,109.32,Wine Her Dine Her 49er,47.30
2013,13,Grandma's Fine Cutlery,87.36,Shady McCoy,97.78
2013,13,The Bush Playoff Push,138.52,The Walking Dez,122.68
2013,13,Speedo-Licious,70.66,Hakuna Ma-Ngata,103.48
2013,13,DeMarco Polo,152.30,Wilson and the Volleyballs,95.08
2013,13,Wine Her Dine Her 49er,58.90,Teenage Newton Ninja Turtles,87.12
2013,13,Saved by the Bell,79.88,Cooper Clux Clan,87.10
2013,14,The Bush Playoff Push,103.04,Teenage Newton Ninja Turtles,74.20
2013,14,The Walking Dez,87.40,Speedo-Licious,145.68
2013,15,DeMarco Polo,90.80,The Bush Playoff Push,153.16
2013,15,Speedo-Licious,124.60,Shady McCoy,153.50
2013,16,The Bush Playoff Push,64.64,Shady McCoy,107.92
2014,1,Another Hillarious Season,66.62,Cooper Clux Clan,124.18
2014,1,Struggle City,106.96,Beats by Tre,156.40
2014,1,The Inconvenient Truth,90.96,The Real Slim Brady,61.98
2014,1,Cops and Rodgers,93.86,Switches and Bitches,93.92
2014,1,Flaccoroni and Cheese,122.16,the full Nelson,105.64
2014,1,Manning United FC,91.98,The Real McCoy,94.94
2014,2,Another Hillarious Season,65.68,Cops and Rodgers,140.16
2014,2,Beats by Tre,103.76,The Real McCoy,85.46
2014,2,Cooper Clux Clan,82.44,Flaccoroni and Cheese,87.58
2014,2,The Real Slim Brady,72.64,Struggle City,78.56
2014,2,Manning United FC,108.46,The Inconvenient Truth,125.60
2014,2,the full Nelson,104.46,Switches and Bitches,132.78
2014,3,Another Hillarious Season,85.48,Flaccoroni and Cheese,75.58
2014,3,the full Nelson,78.60,Cops and Rodgers,86.60
2014,3,The Real McCoy,88.98,The Real Slim Brady,101.14
2014,3,Manning United FC,96.34,Beats by Tre,85.00
2014,3,Struggle City,86.58,The Inconvenient Truth,76.98
2014,3,Switches and Bitches,121.56,Cooper Clux Clan,75.74
2014,4,Another Hillarious Season,114.08,the full Nelson,87.80
2014,4,Cooper Clux Clan,103.40,Cops and Rodgers,137.84
2014,4,Switches and Bitches,101.12,Flaccoroni and Cheese,132.72
2014,4,Struggle City,52.00,Manning United FC,84.38
2014,4,The Inconvenient Truth,109.10,The Real McCoy,106.80
2014,4,The Real Slim Brady,64.64,Beats by Tre,83.50
2014,5,Another Hillarious Season,77.28,Switches and Bitches,117.06
2014,5,Manning United FC,97.12,The Real Slim Brady,118.88
2014,5,Cooper Clux Clan,87.04,the full Nelson,97.54
2014,5,Cops and Rodgers,89.88,Flaccoroni and Cheese,116.36
2014,5,The Inconvenient Truth,68.94,Beats by Tre,103.64
2014,5,Struggle City,85.76,The Real McCoy,101.84
2014,6,Another Hillarious Season,95.66,Manning United FC,99.24
2014,6,Beats by Tre,88.32,Cooper Clux Clan,90.72
2014,6,The Real Slim Brady,82.52,Flaccoroni and Cheese,113.88
2014,6,Struggle City,67.26,Cops and Rodgers,104.46
2014,6,The Inconvenient Truth,104.94,Switches and Bitches,84.36
2014,6,The Real McCoy,90.88,the full Nelson,152.38
2014,7,Another Hillarious Season,102.66,Beats by Tre,98.18
2014,7,the full Nelson,83.82,The Real Slim Brady,103.76
2014,7,Struggle City,66.24,Cooper Clux Clan,81.00
2014,7,Cops and Rodgers,89.72,The Inconvenient Truth,63.78
2014,7,The Real McCoy,129.78,Switches and Bitches,93.76
2014,7,Manning United FC,83.22,Flaccoroni and Cheese,103.32
2014,8,Another Hillarious Season,118.80,The Inconvenient Truth,101.54
2014,8,Flaccoroni and Cheese,76.88,Beats by Tre,131.40
2014,8,Cops and Rodgers,134.02,The Real McCoy,175.42
2014,8,Struggle City,89.10,the full Nelson,83.46
2014,8,The Real Slim Brady,143.32,Cooper Clux Clan,96.38
2014,8,Switches and Bitches,101.28,Manning United FC,94.88
2014,9,Another Hillarious Season,101.66,The Real Slim Brady,120.44
2014,9,Beats by Tre,102.56,Cops and Rodgers,77.36
2014,9,The Real McCoy,115.58,Flaccoroni and Cheese,77.92
2014,9,Struggle City,87.96,Switches and Bitches,94.56
