profile_id,year,games_played,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_yards,receptions,receiving_touchdowns,fumbles_lost
2505453,2004,16,0,0,0,0,0,0,0,0,67,8,0,0
2505511,2004,16,0,0,0,0,0,6,49,0,1006,68,9,0
2505551,2004,16,0,0,0,0,0,4,12,0,1142,79,6,1
2505587,2004,10,0,0,0,0,0,1,3,0,623,56,1,1
2505600,2004,13,0,0,0,0,0,0,0,0,565,43,6,0
2505623,2004,3,47,84,607,1,3,11,48,1,0,0,0,2
2505629,2004,16,0,0,0,0,0,0,0,0,980,87,6,1
2505664,2004,15,0,0,0,0,0,0,0,0,423,25,5,1
2505673,2004,14,267,441,2941,15,10,39,148,2,0,0,0,1
2505674,2004,16,0,0,0,0,0,284,1128,13,169,0,291,2
2505785,2004,4,0,0,0,0,0,0,0,0,49,3,1,0
2505790,2004,15,0,0,0,0,0,0,0,0,0,0,0,1
2505936,2004,14,0,0,0,0,0,134,673,4,189,0,232,1
2505967,2004,5,0,0,0,0,0,0,0,0,0,0,0,1
2505976,2004,16,0,0,0,0,0,1,2,0,119,7,0,0
2505982,2004,6,33,70,330,1,4,8,26,0,0,0,0,0
2505996,2004,9,95,197,1043,6,9,6,35,0,0,0,0,1
2506004,2004,12,0,0,0,0,0,0,0,0,60,6,0,0
2506014,2004,14,0,0,0,0,0,20,104,0,8,0,38,1
2506053,2004,5,48,98,608,4,7,6,25,0,0,0,0,0
2506097,2004,16,0,0,0,0,0,5,85,0,843,48,9,1
2506106,2004,16,0,0,0,0,0,8,14,0,780,58,8,0
2506107,2004,2,0,0,0,0,0,0,0,0,50,5,0,0
2506109,2004,14,196,295,2621,17,11,56,144,1,0,0,0,2
2506114,2004,1,0,0,0,0,0,0,0,0,0,0,0,0
2506121,2004,2,5,8,33,1,0,4,-5,0,0,0,0,0
2506122,2004,1,0,0,0,0,0,0,0,0,16,2,0,0
