profile_id,year,games_played,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_yards,receptions,receiving_touchdowns,fumbles_lost,position
497145,2016,7,0,0,0,0,0,3,6,0,-2,1,0,0,RB
497147,2010,16,0,0,0,0,0,171,555,4,487,58,2,1,RB
497147,2011,6,0,0,0,0,0,84,390,2,287,27,1,0,RB
497149,2010,13,0,0,0,0,0,201,1007,6,14,5,0,4,RB
497149,2011,14,0,0,0,0,0,184,781,5,148,15,0,5,RB
497149,2012,13,0,0,0,0,0,41,151,2,2,1,0,0,RB
497149,2013,16,0,0,0,0,0,153,772,7,38,2,0,3,RB
497149,2014,16,0,0,0,0,0,125,547,5,54,10,0,1,RB
497149,2015,12,0,0,0,0,0,165,703,6,43,6,1,1,RB
497149,2016,16,0,0,0,0,0,299,1161,18,38,7,0,2,RB
497149,2017,16,0,0,0,0,0,173,766,2,50,8,1,1,RB
497149,2018,16,0,0,0,0,0,154,418,5,67,10,0,2,RB
497172,2010,16,0,0,0,0,0,70,237,2,11,5,0,0,RB
497172,2011,16,0,0,0,0,0,29,87,2,6,1,0,0,RB
497172,2012,16,0,0,0,0,0,21,78,2,0,0,0,0,RB
497172,2013,16,0,0,0,0,0,28,56,2,30,3,0,0,RB
497172,2014,16,0,0,0,0,0,105,432,2,49,8,0,1,RB
497172,2015,16,0,0,0,0,0,21,44,1,44,6,0,0,RB
497174,2010,1,0,0,0,0,0,9,28,0,0,0,0,0,RB
497174,2011,7,0,0,0,0,0,16,123,0,6,1,0,0,RB
497174,2012,13,0,0,0,0,0,156,623,2,106,18,0,2,RB
497174,2013,15,0,0,0,0,0,49,197,0,64,8,0,0,RB
497174,2014,2,0,0,0,0,0,16,51,1,8,2,0,0,RB
497176,2010,15,0,0,0,0,0,81,322,1,167,21,0,3,RB
497176,2011,16,0,0,0,0,0,109,531,1,190,23,3,1,RB
497176,2012,16,0,0,0,0,0,50,169,1,155,20,0,2,RB
497176,2013,14,0,0,0,0,0,36,283,2,88,13,0,1,RB
497176,2014,14,0,0,0,0,0,101,326,2,186,20,0,1,RB
497176,2015,7,0,0,0,0,0,20,44,0,23,3,0,0,RB
497178,2011,10,0,0,0,0,0,88,266,0,122,14,0,1,RB
497178,2012,13,0,0,0,0,0,65,271,1,16,2,0,2,RB
497188,2010,12,0,0,0,0,0,158,678,7,145,22,0,5,RB
497188,2011,14,0,0,0,0,0,222,1091,6,455,50,0,5,RB
497188,2012,12,0,0,0,0,0,184,707,1,252,39,0,2,RB
497188,2013,16,0,0,0,0,0,285,1255,6,189,26,1,2,RB
497188,2014,6,0,0,0,0,0,74,330,3,69,9,0,1,RB
497188,2015,13,0,0,0,0,0,106,539,6,146,20,1,3,RB
497188,2016,13,0,0,0,0,0,155,661,8,115,13,1,3,RB
497192,2010,9,0,0,0,0,0,39,189,0,20,3,0,0,RB
